,time [s],voltage [V],current [A]
0,849.030518,-0.131485,-3.74379e-05
1,849.038635,-0.131424,-2.832239e-05
2,849.046814,-0.131323,-2.498265e-05
3,849.054932,-0.131232,-2.289585e-05
4,849.063049,-0.131114,-1.987844e-05
5,849.071167,-0.13102,-2.019748e-05
6,849.079346,-0.130961,-1.838056e-05
7,849.087463,-0.130928,-1.818096e-05
8,0.007583,-0.050017,5.470175e-05
9,0.015167,-0.050726,5.470175e-05
10,0.02275,-0.051519,5.470175e-05
11,0.030333,-0.052221,5.470175e-05
12,0.037917,-0.053027,5.470175e-05
13,0.0455,-0.053769,5.470175e-05
14,0.053083,-0.05458,5.470175e-05
15,0.060667,-0.055261,5.470175e-05
16,0.06825,-0.056075,5.470175e-05
17,0.075833,-0.056768,5.470175e-05
18,0.083417,-0.057572,5.470175e-05
19,0.091,-0.058312,5.470175e-05
20,0.098583,-0.059116,5.470175e-05
21,0.106167,-0.059818,5.470175e-05
22,0.11375,-0.060601,5.470175e-05
23,0.121333,-0.061327,5.470175e-05
24,0.128917,-0.062085,5.470175e-05
25,0.1365,-0.062892,5.470175e-05
26,0.144083,-0.063622,5.470175e-05
27,0.151667,-0.06441,5.470175e-05
28,0.15925,-0.065099,5.470175e-05
29,0.166833,-0.065926,0.000547
30,0.174417,-0.06659,0.000547
31,0.182,-0.067486,0.000547
32,0.189583,-0.068116,0.000547
33,0.197167,-0.068985,0.000547
34,0.20475,-0.069607,0.000547
35,0.212333,-0.070505,0.000547
36,0.219917,-0.071097,0.000547
37,0.2275,-0.07207,0.000547
38,0.235083,-0.072619,0.000547
39,0.242667,-0.073579,0.000451
40,0.25025,-0.074112,0.000228
41,0.257833,-0.07509,0.0001
42,0.265417,-0.075611,-4.14787e-05
43,0.273,-0.076637,-5.3684e-05
44,0.280583,-0.077169,-0.000262
45,0.288167,-0.078073,-0.000246
46,0.29575,-0.078726,-0.000546
47,0.303333,-0.079508,-0.000546
48,0.310917,-0.080279,-0.000546
49,0.3185,-0.080997,-0.000546
50,0.326083,-0.081858,-0.000546
51,0.333667,-0.082469,-0.000546
52,0.34125,-0.083369,-0.000546
53,0.348833,-0.083949,-0.000546
54,0.356417,-0.08487,-0.000546
55,0.364,-0.085499,-0.000546
56,0.371583,-0.086404,-0.000546
57,0.379167,-0.086999,-0.000546
58,0.38675,-0.087897,-0.000546
59,0.394333,-0.088505,-0.000546
60,0.401917,-0.089376,-0.000546
61,0.4095,-0.090083,-0.000546
62,0.417083,-0.090901,-0.000546
63,0.424667,-0.091605,-0.000546
64,0.43225,-0.092386,-0.000546
65,0.439833,-0.093126,-0.000546
66,0.447417,-0.093853,-0.000546
67,0.455,-0.094686,-0.000546
68,0.462583,-0.095378,-0.000546
69,0.470167,-0.09621,-0.000546
70,0.47775,-0.096872,-0.000546
71,0.485333,-0.097713,-0.000546
72,0.492917,-0.098355,-0.000546
73,0.5005,-0.099286,-0.000546
74,0.508083,-0.099916,-0.000546
75,0.515667,-0.100795,-0.000546
76,0.52325,-0.101413,-0.005456
77,0.530833,-0.102282,-0.005456
78,0.538417,-0.102919,-0.005456
79,0.546,-0.103771,-0.005456
80,0.553583,-0.104479,-0.005456
81,0.561167,-0.105302,-0.005456
82,0.56875,-0.105987,-0.005456
83,0.576333,-0.106787,-0.005456
84,0.583917,-0.107506,-0.005456
85,0.5915,-0.108265,-0.005456
86,0.599083,-0.109076,-0.005456
87,0.606667,-0.109792,-0.005456
88,0.61425,-0.110596,-0.005456
89,0.621833,-0.11128,-0.005456
90,0.629417,-0.112102,-0.005456
91,0.637,-0.112762,-0.005456
92,0.644583,-0.113673,-0.005456
93,0.652167,-0.114309,-0.005456
94,0.65975,-0.115175,-0.005456
95,0.667333,-0.115803,-0.005456
96,0.674917,-0.116679,-0.005456
97,0.6825,-0.117308,-0.005456
98,0.690083,-0.118221,-0.005456
99,0.697667,-0.11887,-0.005456
100,0.70525,-0.119707,-0.005456
101,0.712833,-0.120374,-0.005456
102,0.720417,-0.121191,-0.005456
103,0.728,-0.121894,-0.005456
104,0.735583,-0.122719,-0.005456
105,0.743167,-0.123458,-0.005456
106,0.75075,-0.124194,-0.005456
107,0.758333,-0.124977,-0.005456
108,0.765917,-0.125682,-0.054629
109,0.7735,-0.126491,-0.054629
110,0.781083,-0.127219,-0.054629
111,0.788667,-0.128058,-0.054629
112,0.79625,-0.128711,-0.054629
113,0.803833,-0.129557,-0.054629
114,0.811417,-0.130201,-0.054629
115,0.819,-0.131055,-0.054629
116,0.826583,-0.131749,-0.054629
117,0.834167,-0.13261,-0.054629
118,0.84175,-0.133256,-0.054629
119,0.849333,-0.134088,-0.054629
120,0.856917,-0.134759,-0.054629
121,0.8645,-0.135578,-0.054629
122,0.872083,-0.136316,-0.054629
123,0.879667,-0.137114,-0.054629
124,0.88725,-0.137836,-0.054629
125,0.894833,-0.138599,-0.054629
126,0.902417,-0.139352,-0.054629
127,0.91,-0.140077,-0.054629
128,0.917583,-0.140913,-0.054629
129,0.925167,-0.141615,-0.054629
130,0.93275,-0.142434,-0.054629
131,0.940333,-0.1431,-0.054629
132,0.947917,-0.14394,-0.054629
133,0.9555,-0.144593,-0.054629
134,0.963083,-0.145488,-0.054629
135,0.970667,-0.146132,-0.054629
136,0.97825,-0.146988,-0.054629
137,0.985833,-0.147645,-0.054629
138,0.993417,-0.148485,-0.054629
139,1.001,-0.149138,-0.054629
140,1.008583,-0.150005,-0.380053
141,1.016167,-0.150745,-0.408658
