,time [s],voltage [V],current [A]
0,616.962097,-0.095721,-4.492254e-05
1,616.970276,-0.095774,-5.255722e-05
2,616.978394,-0.095779,-5.307017e-05
3,616.986511,-0.095697,-4.115371e-05
4,616.994629,-0.095697,-4.10976e-05
5,617.002808,-0.095703,-4.215295e-05
6,617.010925,-0.095738,-4.892944e-05
7,0.007583,-0.049991,5.470175e-05
8,0.015167,-0.050738,5.470175e-05
9,0.02275,-0.051485,0.000547
10,0.030333,-0.052243,0.000547
11,0.037917,-0.052982,0.000547
12,0.0455,-0.053783,0.000547
13,0.053083,-0.054529,0.000547
14,0.060667,-0.055281,0.000547
15,0.06825,-0.056031,0.000547
16,0.075833,-0.056782,0.000547
17,0.083417,-0.057537,0.000547
18,0.091,-0.058333,0.000547
19,0.098583,-0.059084,0.000547
20,0.106167,-0.059838,0.000547
21,0.11375,-0.060585,0.000547
22,0.121333,-0.061338,0.000547
23,0.128917,-0.062088,0.000547
24,0.1365,-0.062885,0.000547
25,0.144083,-0.063625,0.000547
26,0.151667,-0.06438,0.000547
27,0.15925,-0.065124,0.000547
28,0.166833,-0.065874,0.000547
29,0.174417,-0.066633,0.000547
30,0.182,-0.067426,0.000547
31,0.189583,-0.068183,0.000547
32,0.197167,-0.068934,0.000547
33,0.20475,-0.069688,0.000547
34,0.212333,-0.07043,0.000547
35,0.219917,-0.071189,0.000547
36,0.2275,-0.072004,0.000547
37,0.235083,-0.072746,0.000547
38,0.242667,-0.073491,0.000547
39,0.25025,-0.074246,0.005459
40,0.257833,-0.074981,0.005459
41,0.265417,-0.075706,0.005389
42,0.273,-0.07651,-0.000195
43,0.280583,-0.077244,-0.005106
44,0.288167,-0.077987,-0.005456
45,0.29575,-0.078715,-0.005456
46,0.303333,-0.07947,-0.005456
47,0.310917,-0.080213,-0.005456
48,0.3185,-0.081006,-0.005456
49,0.326083,-0.081763,-0.005456
50,0.333667,-0.082511,-0.005456
51,0.34125,-0.083259,-0.005456
52,0.348833,-0.084005,-0.005456
53,0.356417,-0.084757,-0.005456
54,0.364,-0.085556,-0.005456
55,0.371583,-0.086304,-0.005456
56,0.379167,-0.08706,-0.005456
57,0.38675,-0.087799,-0.005456
58,0.394333,-0.088555,-0.005456
59,0.401917,-0.089302,-0.005456
60,0.4095,-0.090101,-0.005456
61,0.417083,-0.090851,-0.005456
62,0.424667,-0.091596,-0.005456
63,0.43225,-0.092349,-0.005456
64,0.439833,-0.093096,-0.005456
65,0.447417,-0.09385,-0.005456
66,0.455,-0.09464,-0.005456
67,0.462583,-0.095397,-0.005456
68,0.470167,-0.096145,-0.005456
69,0.47775,-0.096948,-0.050226
70,0.485333,-0.097644,-0.054629
71,0.492917,-0.098394,-0.054629
72,0.5005,-0.0992,-0.054629
73,0.508083,-0.09995,-0.054629
74,0.515667,-0.100695,-0.054629
75,0.52325,-0.101443,-0.054629
76,0.530833,-0.102212,-0.054629
77,0.538417,-0.102955,-0.054629
78,0.546,-0.103697,-0.054629
79,0.553583,-0.104503,-0.054629
80,0.561167,-0.10525,-0.054629
81,0.56875,-0.106013,-0.054629
82,0.576333,-0.106746,-0.054629
83,0.583917,-0.1075,-0.054629
