,time [s],voltage [V],current [A]
144,1.0465,-0.153741,-0.386105
145,1.054083,-0.154528,-0.409985
146,1.061667,-0.155278,-0.389216
147,1.06925,-0.156074,-0.406977
148,1.076833,-0.156778,-0.389757
149,1.084417,-0.157577,-0.401367
150,1.092,-0.158277,-0.391752
151,1.099583,-0.159086,-0.396221
152,1.107167,-0.159829,-0.396411
153,1.11475,-0.160634,-0.392236
154,1.122333,-0.161321,-0.397769
155,1.129917,-0.162125,-0.386685
156,1.1375,-0.16282,-0.399324
157,1.145083,-0.163622,-0.381527
158,1.152667,-0.16437,-0.403517
159,1.16025,-0.165165,-0.378926
160,1.167833,-0.165873,-0.403776
161,1.175417,-0.166661,-0.374931
162,1.183,-0.167382,-0.403778
163,1.190583,-0.168143,-0.372409
164,1.198167,-0.168933,-0.404929
165,1.20575,-0.169687,-0.372467
166,1.213333,-0.17044,-0.403083
167,1.220917,-0.171175,-0.371456
168,1.2285,-0.171946,-0.400279
169,1.236083,-0.172668,-0.371988
170,1.243667,-0.173506,-0.399501
171,1.25125,-0.174222,-0.375493
172,1.258833,-0.175016,-0.395137
173,1.266417,-0.175711,-0.377781
174,1.274,-0.176517,-0.390682
175,1.281583,-0.177216,-0.380972
176,1.289167,-0.178071,-0.387534
177,1.29675,-0.178761,-0.385364
178,1.304333,-0.179572,-0.38219
179,1.311917,-0.180272,-0.388396
180,1.3195,-0.181061,-0.376954
181,1.327083,-0.181766,-0.391182
182,1.334667,-0.182608,-0.375116
183,1.34225,-0.183313,-0.395005
184,1.349833,-0.184106,-0.371433
185,1.357417,-0.184822,-0.396503
186,1.365,-0.1856,-0.368646
187,1.372583,-0.186318,-0.397696
188,1.380167,-0.187137,-0.368604
189,1.38775,-0.187872,-0.399486
190,1.395333,-0.188621,-0.36753
191,1.402917,-0.189382,-0.398584
192,1.4105,-0.190114,-0.36774
193,1.418083,-0.190895,-0.396514
194,1.425667,-0.191665,-0.37089
195,1.43325,-0.192451,-0.395943
196,1.440833,-0.193152,-0.371706
197,1.448417,-0.193939,-0.392021
198,1.456,-0.194648,-0.374152
199,1.463583,-0.195455,-0.388309
200,1.471167,-0.19619,-0.378882
201,1.47875,-0.197005,-0.385476
202,1.486333,-0.197694,-0.381638
203,1.493917,-0.198499,-0.380475
204,1.5015,-0.199191,-0.384353
205,1.509083,-0.2,-0.375405
206,1.516667,-0.200746,-0.388892
207,1.52425,-0.201548,-0.37272
208,1.531833,-0.202268,-0.390891
209,1.539417,-0.20305,-0.367933
210,1.547,-0.203764,-0.391677
211,1.554583,-0.204548,-0.363988
212,1.562167,-0.205263,-0.391506
213,1.56975,-0.206083,-0.362762
214,1.577333,-0.206824,-0.392327
215,1.584917,-0.207568,-0.359558
216,1.5925,-0.208326,-0.389894
217,1.600083,-0.209055,-0.356986
218,1.607667,-0.209833,-0.38627
219,1.61525,-0.210607,-0.358104
220,1.622833,-0.211377,-0.38327
221,1.630417,-0.212095,-0.357232
222,1.638,-0.212892,-0.37727
223,1.645583,-0.213586,-0.356249
224,1.653167,-0.214394,-0.370608
225,1.66075,-0.215133,-0.357813
226,1.668333,-0.215941,-0.364681
227,1.675917,-0.216625,-0.356818
228,1.6835,-0.217448,-0.356594
229,1.691083,-0.218132,-0.356403
230,1.698667,-0.218937,-0.347993
231,1.70625,-0.219686,-0.357275
232,1.713833,-0.220489,-0.340817
233,1.721417,-0.22119,-0.348076
234,1.729,-0.221954,-0.342387
235,1.736583,-0.22271,-0.34172
236,1.744167,-0.223468,-0.336057
237,1.75175,-0.224261,-0.337645
238,1.759333,-0.22502,-0.330753
239,1.766917,-0.225766,-0.330708
240,1.7745,-0.226512,-0.32426
241,1.782083,-0.227271,-0.324564
242,1.789667,-0.228018,-0.317647
243,1.79725,-0.228788,-0.324323
244,1.804833,-0.229552,-0.299169
245,1.812417,-0.230338,-0.32293
246,1.82,-0.231044,-0.292929
247,1.827583,-0.231839,-0.313138
248,1.835167,-0.232538,-0.2877
249,1.84275,-0.2334,-0.304037
250,1.850333,-0.234081,-0.284945
251,1.857917,-0.234882,-0.291901
252,1.8655,-0.235584,-0.280506
253,1.873083,-0.236392,-0.280278
254,1.880667,-0.237072,-0.276518
255,1.88825,-0.237941,-0.269989
256,1.895833,-0.238619,-0.27368
257,1.903417,-0.239433,-0.257927
258,1.911,-0.24013,-0.269626
259,1.918583,-0.240924,-0.246778
260,1.926167,-0.241628,-0.264846
261,1.93375,-0.242469,-0.238086
262,1.941333,-0.243188,-0.261104
263,1.948917,-0.243964,-0.228572
264,1.9565,-0.2447,-0.254834
265,1.964083,-0.245451,-0.220108
266,1.971667,-0.246204,-0.248898
267,1.97925,-0.246986,-0.21483
268,1.986833,-0.247755,-0.242803
269,1.994417,-0.248483,-0.208472
270,2.002,-0.249261,-0.23449
271,2.009583,-0.249976,-0.204312
272,2.017167,-0.25077,-0.225391
273,2.02475,-0.251518,-0.202874
274,2.032333,-0.252326,-0.217981
275,2.039917,-0.253018,-0.199446
276,2.0475,-0.253838,-0.208843
277,2.055084,-0.254513,-0.197147
278,2.062667,-0.255348,-0.199636
279,2.07025,-0.256012,-0.19621
280,2.077833,-0.256883,-0.191776
281,2.085417,-0.257565,-0.196512
282,2.093,-0.258379,-0.182529
283,2.100583,-0.259056,-0.194915
284,2.108167,-0.259868,-0.174397
285,2.11575,-0.260574,-0.192968
286,2.123333,-0.261412,-0.168857
287,2.130917,-0.262125,-0.193089
288,2.1385,-0.262905,-0.161798
289,2.146083,-0.263636,-0.190334
290,2.153667,-0.264397,-0.156803
291,2.16125,-0.265146,-0.186882
292,2.168833,-0.265936,-0.154715
293,2.176417,-0.266699,-0.183285
294,2.184,-0.267417,-0.151586
295,2.191583,-0.268203,-0.178847
296,2.199167,-0.268918,-0.149642
297,2.20675,-0.269724,-0.173588
298,2.214334,-0.270458,-0.150516
299,2.221917,-0.271275,-0.168641
300,2.2295,-0.271951,-0.150405
301,2.237083,-0.272781,-0.161792
302,2.244667,-0.273435,-0.150782
303,2.25225,-0.274289,-0.155866
304,2.259833,-0.274986,-0.152857
305,2.267417,-0.275835,-0.150557
306,2.275,-0.27648,-0.153515
307,2.282583,-0.277345,-0.144168
308,2.290167,-0.277984,-0.154684
309,2.29775,-0.278845,-0.138372
310,2.305333,-0.27954,-0.157005
311,2.312917,-0.280382,-0.133915
312,2.3205,-0.281059,-0.156781
313,2.328084,-0.28186,-0.128567
314,2.335667,-0.282571,-0.156371
315,2.34325,-0.283339,-0.124508
316,2.350833,-0.284133,-0.156745
317,2.358417,-0.284877,-0.122887
318,2.366,-0.285644,-0.153688
319,2.373583,-0.286363,-0.121253
320,2.381167,-0.287147,-0.150073
321,2.38875,-0.287853,-0.12081
322,2.396333,-0.288702,-0.14732
323,2.403917,-0.289388,-0.122297
324,2.4115,-0.290211,-0.142282
325,2.419083,-0.290879,-0.122439
326,2.426667,-0.291724,-0.137237
327,2.43425,-0.292368,-0.123949
328,2.441833,-0.293291,-0.133029
329,2.449417,-0.293909,-0.12673
330,2.457,-0.2948,-0.126932
331,2.464583,-0.295407,-0.127274
332,2.472167,-0.2963,-0.120889
333,2.47975,-0.296904,-0.128293
334,2.487334,-0.29785,-0.116626
335,2.494917,-0.298461,-0.130677
336,2.5025,-0.299335,-0.11072
337,2.510083,-0.299965,-0.131432
338,2.517667,-0.30082,-0.106046
339,2.52525,-0.301482,-0.131567
340,2.532833,-0.302347,-0.103313
341,2.540417,-0.303057,-0.132262
342,2.548,-0.303827,-0.099625
343,2.555583,-0.304582,-0.130516
344,2.563167,-0.305312,-0.097962
345,2.57075,-0.306104,-0.127821
346,2.578333,-0.306802,-0.097621
347,2.585917,-0.307661,-0.125518
348,2.5935,-0.308331,-0.098685
349,2.601084,-0.309176,-0.120342
350,2.608667,-0.30982,-0.099267
351,2.61625,-0.31068,-0.115513
352,2.623833,-0.311301,-0.099995
