,time [s],voltage [V],current [A]
0,823.678894,-0.127019,-7.424788e-06
1,823.687073,-0.127009,-1.438871e-05
2,823.69519,-0.127007,-9.290856e-06
3,823.703308,-0.126983,-9.509564e-06
4,823.711426,-0.127029,-7.045222e-06
5,823.719604,-0.127222,-1.84648e-05
6,823.727722,-0.12737,-2.222185e-05
7,823.73584,-0.127443,-2.97667e-05
8,823.743958,-0.127434,-2.661365e-05
9,0.007583,-0.050012,5.470175e-05
10,0.015167,-0.050713,5.470175e-05
11,0.02275,-0.051512,5.470175e-05
12,0.030333,-0.052204,5.470175e-05
13,0.037917,-0.053014,5.470175e-05
14,0.0455,-0.053755,5.470175e-05
15,0.053083,-0.054558,5.470175e-05
16,0.060667,-0.055245,5.470175e-05
17,0.06825,-0.056063,5.470175e-05
18,0.075833,-0.056738,5.470175e-05
19,0.083417,-0.057562,5.470175e-05
20,0.091,-0.058291,5.470175e-05
21,0.098583,-0.059117,5.470175e-05
22,0.106167,-0.059788,5.470175e-05
23,0.11375,-0.060614,5.470175e-05
24,0.121333,-0.061283,5.470175e-05
25,0.128917,-0.062111,5.470175e-05
26,0.1365,-0.062844,5.470175e-05
27,0.144083,-0.063647,5.470175e-05
28,0.151667,-0.064354,5.470175e-05
29,0.15925,-0.06513,5.470175e-05
30,0.166833,-0.065871,0.000547
31,0.174417,-0.066614,0.000547
32,0.182,-0.067418,0.000547
33,0.189583,-0.068143,0.000547
34,0.197167,-0.06893,0.000547
35,0.20475,-0.069628,0.000547
36,0.212333,-0.070449,0.000547
37,0.219917,-0.071118,0.000547
38,0.2275,-0.072007,0.000547
39,0.235083,-0.072641,0.000547
40,0.242667,-0.073536,0.000547
41,0.25025,-0.074109,0.000403
42,0.257833,-0.075071,3.052996e-05
43,0.265417,-0.075576,0.000177
44,0.273,-0.076664,-0.000139
45,0.280583,-0.077087,-3.782526e-05
46,0.288167,-0.078169,-0.000306
47,0.29575,-0.078584,-0.000546
48,0.303333,-0.079657,-0.000546
49,0.310917,-0.0801,-0.000546
50,0.3185,-0.081169,-0.000546
51,0.326083,-0.081671,-0.000546
52,0.333667,-0.082632,-0.000546
53,0.34125,-0.083203,-0.000546
54,0.348833,-0.084094,-0.000546
55,0.356417,-0.084734,-0.000546
56,0.364,-0.085591,-0.000546
57,0.371583,-0.086312,-0.000546
58,0.379167,-0.087067,-0.000546
59,0.38675,-0.087827,-0.000546
60,0.394333,-0.088541,-0.000546
61,0.401917,-0.089339,-0.005456
62,0.4095,-0.090084,-0.005456
63,0.417083,-0.090899,-0.005456
64,0.424667,-0.091571,-0.005456
65,0.43225,-0.092411,-0.005456
66,0.439833,-0.093061,-0.005456
67,0.447417,-0.093913,-0.005456
68,0.455,-0.094591,-0.005456
69,0.462583,-0.095461,-0.005456
70,0.470167,-0.096091,-0.005456
71,0.47775,-0.096972,-0.005456
72,0.485333,-0.097587,-0.005456
73,0.492917,-0.098468,-0.005456
74,0.5005,-0.09915,-0.005456
75,0.508083,-0.100016,-0.005456
76,0.515667,-0.100654,-0.005456
77,0.52325,-0.101511,-0.005456
78,0.530833,-0.102163,-0.005456
79,0.538417,-0.103,-0.005456
80,0.546,-0.103676,-0.005456
81,0.553583,-0.104526,-0.005456
82,0.561167,-0.105241,-0.005456
83,0.56875,-0.106012,-0.005456
84,0.576333,-0.106741,-0.005456
85,0.583917,-0.107492,-0.005456
86,0.5915,-0.108253,-0.005456
87,0.599083,-0.109018,-0.005456
88,0.606667,-0.109822,-0.005456
89,0.61425,-0.110524,-0.005456
90,0.621833,-0.111328,-0.005456
91,0.629417,-0.111998,-0.005456
92,0.637,-0.112842,-0.005456
93,0.644583,-0.113544,-0.054629
94,0.652167,-0.11438,-0.054629
95,0.65975,-0.115035,-0.054629
96,0.667333,-0.115889,-0.054629
97,0.674917,-0.116539,-0.054629
98,0.6825,-0.117394,-0.054629
99,0.690083,-0.118091,-0.054629
100,0.697667,-0.118937,-0.054629
101,0.70525,-0.119585,-0.054629
102,0.712833,-0.12044,-0.054629
103,0.720417,-0.121088,-0.054629
104,0.728,-0.121927,-0.054629
105,0.735583,-0.122648,-0.054629
106,0.743167,-0.123459,-0.054629
107,0.75075,-0.124145,-0.054629
108,0.758333,-0.124963,-0.054629
109,0.765917,-0.125672,-0.054629
110,0.7735,-0.126447,-0.054629
111,0.781083,-0.127239,-0.054629
112,0.788667,-0.127984,-0.054629
113,0.79625,-0.128752,-0.054629
114,0.803833,-0.129466,-0.054629
115,0.811417,-0.130254,-0.054629
116,0.819,-0.130959,-0.054629
117,0.826583,-0.131808,-0.054629
118,0.834167,-0.132486,-0.054629
119,0.84175,-0.13332,-0.054629
120,0.849333,-0.133975,-0.054629
121,0.856917,-0.134826,-0.054629
122,0.8645,-0.135482,-0.054629
123,0.872083,-0.136372,-0.054629
124,0.879667,-0.137021,-0.054629
125,0.88725,-0.137869,-0.342188
126,0.894833,-0.138551,-0.35336
127,0.902417,-0.13937,-0.357825
128,0.91,-0.140058,-0.371278
129,0.917583,-0.140916,-0.358489
130,0.925167,-0.141618,-0.375475
131,0.93275,-0.142416,-0.353413
132,0.940333,-0.143121,-0.375696
133,0.947917,-0.143907,-0.348814
134,0.9555,-0.144625,-0.375775
135,0.963083,-0.145447,-0.347253
136,0.970667,-0.146182,-0.376871
137,0.97825,-0.14694,-0.343819
138,0.985833,-0.147693,-0.375336
139,0.993417,-0.148434,-0.34169
140,1.001,-0.149202,-0.372603
141,1.008583,-0.149973,-0.343163
142,1.016167,-0.150765,-0.371159
143,1.02375,-0.151471,-0.342398
144,1.031333,-0.152267,-0.366247
145,1.038917,-0.152963,-0.342807
146,1.0465,-0.153772,-0.361376
147,1.054083,-0.154473,-0.343922
148,1.061667,-0.155323,-0.35802
149,1.06925,-0.156014,-0.347605
150,1.076833,-0.156825,-0.351656
151,1.084417,-0.157516,-0.349221
152,1.092,-0.158324,-0.344981
153,1.099583,-0.159008,-0.351243
154,1.107167,-0.159869,-0.342291
155,1.11475,-0.160551,-0.354595
156,1.122333,-0.16136,-0.335974
157,1.129917,-0.16206,-0.35578
158,1.1375,-0.162849,-0.331635
159,1.145083,-0.163571,-0.356828
160,1.152667,-0.16439,-0.329911
161,1.16025,-0.165125,-0.358753
162,1.167833,-0.165882,-0.326946
163,1.175417,-0.166633,-0.357909
164,1.183,-0.167386,-0.325058
165,1.190583,-0.16813,-0.356416
166,1.198167,-0.168923,-0.326519
167,1.20575,-0.169694,-0.356603
168,1.213333,-0.17042,-0.325957
169,1.220917,-0.171187,-0.353346
170,1.2285,-0.171914,-0.327387
171,1.236083,-0.172706,-0.350179
172,1.243667,-0.173442,-0.331131
173,1.25125,-0.174256,-0.347937
174,1.258833,-0.174952,-0.333269
175,1.266417,-0.175757,-0.344221
176,1.274,-0.176449,-0.33631
177,1.281583,-0.177263,-0.340157
178,1.289167,-0.178001,-0.341978
179,1.29675,-0.178814,-0.337647
180,1.304333,-0.179502,-0.344843
181,1.311917,-0.180311,-0.332904
182,1.3195,-0.180996,-0.347961
183,1.327083,-0.181799,-0.329772
184,1.334667,-0.182549,-0.352735
185,1.34225,-0.183341,-0.328628
186,1.349833,-0.184054,-0.354579
187,1.357417,-0.184839,-0.326415
188,1.365,-0.185557,-0.356086
189,1.372583,-0.186321,-0.324552
190,1.380167,-0.187115,-0.359117
191,1.38775,-0.187865,-0.32652
192,1.395333,-0.188624,-0.3581
193,1.402917,-0.189353,-0.326465
194,1.4105,-0.190133,-0.357202
195,1.418083,-0.190851,-0.32755
196,1.425667,-0.191679,-0.357888
197,1.43325,-0.192395,-0.331477
198,1.440833,-0.193182,-0.35492
199,1.448417,-0.193888,-0.33373
200,1.456,-0.194691,-0.351458
201,1.463583,-0.195379,-0.336599
202,1.471167,-0.196237,-0.349744
203,1.47875,-0.196926,-0.341865
204,1.486333,-0.197736,-0.345156
205,1.493917,-0.198433,-0.344898
