,time [s],voltage [V],current [A]
0,869.591553,-0.130644,-5.347306e-05
1,869.599731,-0.130646,-5.348749e-05
2,869.607849,-0.130637,-5.334607e-05
3,869.615967,-0.130635,-5.294384e-05
4,869.624146,-0.130646,-5.389825e-05
5,869.632263,-0.130638,-5.369158e-05
6,869.640381,-0.130645,-5.335723e-05
7,0.007583,-0.04999,5.470175e-05
8,0.015167,-0.050746,5.470175e-05
9,0.02275,-0.051495,0.000547
10,0.030333,-0.052238,0.000547
11,0.037917,-0.052989,0.000547
12,0.0455,-0.053789,0.000547
13,0.053083,-0.05454,0.000547
14,0.060667,-0.055289,0.000547
15,0.06825,-0.056041,0.000547
16,0.075833,-0.056791,0.000547
17,0.083417,-0.057539,0.000547
18,0.091,-0.058328,0.000547
19,0.098583,-0.059087,0.000547
20,0.106167,-0.059834,0.000547
21,0.11375,-0.060584,0.000547
22,0.121333,-0.061335,0.000547
23,0.128917,-0.062083,0.000547
24,0.1365,-0.062878,0.000547
25,0.144083,-0.063629,0.000547
26,0.151667,-0.064378,0.000547
27,0.15925,-0.065124,0.000547
28,0.166833,-0.065879,0.000547
29,0.174417,-0.066631,0.000547
30,0.182,-0.067417,0.000547
31,0.189583,-0.068171,0.000547
32,0.197167,-0.068916,0.000547
33,0.20475,-0.06967,0.000547
34,0.212333,-0.070409,0.000547
35,0.219917,-0.071172,0.000547
36,0.2275,-0.071959,0.005459
37,0.235083,-0.072707,0.005459
38,0.242667,-0.073448,0.005035
39,0.25025,-0.074208,0.003686
40,0.257833,-0.07496,0.002394
41,0.265417,-0.07571,0.001187
42,0.273,-0.076507,-0.000266
43,0.280583,-0.077252,-0.001415
44,0.288167,-0.077997,-0.002597
45,0.29575,-0.078743,-0.003751
46,0.303333,-0.07949,-0.004797
47,0.310917,-0.080242,-0.005456
48,0.3185,-0.081034,-0.005456
49,0.326083,-0.081794,-0.005456
50,0.333667,-0.08253,-0.005456
51,0.34125,-0.083285,-0.005456
52,0.348833,-0.08403,-0.005456
53,0.356417,-0.084776,-0.005456
54,0.364,-0.08558,-0.005456
55,0.371583,-0.086325,-0.005456
56,0.379167,-0.087074,-0.005456
57,0.38675,-0.087824,-0.005456
58,0.394333,-0.088573,-0.005456
59,0.401917,-0.089312,-0.005456
60,0.4095,-0.090121,-0.005456
61,0.417083,-0.090875,-0.005456
62,0.424667,-0.091619,-0.005456
63,0.43225,-0.092366,-0.005456
64,0.439833,-0.093119,-0.005456
65,0.447417,-0.093866,-0.005456
66,0.455,-0.094663,-0.005456
67,0.462583,-0.095407,-0.005456
68,0.470167,-0.096155,-0.005456
69,0.47775,-0.096923,-0.005456
70,0.485333,-0.097664,-0.005456
71,0.492917,-0.09841,-0.005456
72,0.5005,-0.099222,-0.005456
73,0.508083,-0.099976,-0.005456
74,0.515667,-0.100723,-0.005456
75,0.52325,-0.101467,-0.054629
76,0.530833,-0.102219,-0.054629
77,0.538417,-0.102969,-0.054629
78,0.546,-0.103713,-0.054629
79,0.553583,-0.104512,-0.054629
80,0.561167,-0.105261,-0.054629
81,0.56875,-0.106017,-0.054629
82,0.576333,-0.106765,-0.054629
83,0.583917,-0.107512,-0.054629
84,0.5915,-0.108267,-0.054629
85,0.599083,-0.109064,-0.054629
86,0.606667,-0.109811,-0.054629
87,0.61425,-0.110556,-0.054629
88,0.621833,-0.111306,-0.054629
89,0.629417,-0.11206,-0.054629
90,0.637,-0.112804,-0.054629
91,0.644583,-0.113607,-0.054629
92,0.652167,-0.114368,-0.054629
93,0.65975,-0.115106,-0.054629
94,0.667333,-0.115863,-0.054629
95,0.674917,-0.11661,-0.054629
96,0.6825,-0.11736,-0.054629
97,0.690083,-0.118156,-0.054629
98,0.697667,-0.118903,-0.054629
99,0.70525,-0.119656,-0.054629
100,0.712833,-0.1204,-0.054629
101,0.720417,-0.121149,-0.054629
102,0.728,-0.121907,-0.054629
103,0.735583,-0.122701,-0.054629
104,0.743167,-0.123453,-0.054629
105,0.75075,-0.124195,-0.054629
106,0.758333,-0.124953,-0.054629
107,0.765917,-0.125715,-0.405218
108,0.7735,-0.126465,-0.410462
109,0.781083,-0.127265,-0.432401
110,0.788667,-0.128016,-0.436071
111,0.79625,-0.128762,-0.436927
112,0.803833,-0.129509,-0.437231
113,0.811417,-0.130268,-0.438149
114,0.819,-0.131014,-0.438525
115,0.826583,-0.131812,-0.441249
116,0.834167,-0.132563,-0.440893
117,0.84175,-0.133315,-0.441181
118,0.849333,-0.134058,-0.441617
119,0.856917,-0.134808,-0.442047
120,0.8645,-0.135564,-0.442404
121,0.872083,-0.136354,-0.444856
122,0.879667,-0.137109,-0.444365
123,0.88725,-0.137854,-0.444407
124,0.894833,-0.138602,-0.44433
125,0.902417,-0.13935,-0.443957
126,0.91,-0.140107,-0.44441
127,0.917583,-0.140902,-0.446877
128,0.925167,-0.141653,-0.445834
129,0.93275,-0.142402,-0.445728
130,0.940333,-0.143149,-0.444966
131,0.947917,-0.143905,-0.445059
132,0.9555,-0.144646,-0.444944
133,0.963083,-0.145451,-0.446545
134,0.970667,-0.146214,-0.44591
135,0.97825,-0.146949,-0.445283
136,0.985833,-0.147701,-0.444787
137,0.993417,-0.148452,-0.444172
138,1.001,-0.149196,-0.443173
139,1.008583,-0.149999,-0.445193
140,1.016167,-0.150765,-0.445009
141,1.02375,-0.151509,-0.44373
142,1.031333,-0.152256,-0.443005
143,1.038917,-0.153005,-0.442226
144,1.0465,-0.153761,-0.441593
145,1.054083,-0.154514,-0.440556
146,1.061667,-0.155305,-0.44206
147,1.06925,-0.156053,-0.441014
148,1.076833,-0.156806,-0.440131
149,1.084417,-0.157555,-0.439264
150,1.092,-0.158306,-0.438387
151,1.099583,-0.159054,-0.437397
152,1.107167,-0.159855,-0.438902
153,1.11475,-0.160599,-0.43763
154,1.122333,-0.161359,-0.436408
155,1.129917,-0.162098,-0.435662
156,1.1375,-0.162854,-0.435051
157,1.145083,-0.163601,-0.433702
158,1.152667,-0.164398,-0.435372
159,1.16025,-0.165137,-0.433925
160,1.167833,-0.165892,-0.433004
161,1.175417,-0.16665,-0.432747
162,1.183,-0.167397,-0.431286
163,1.190583,-0.168148,-0.43064
164,1.198167,-0.168947,-0.432001
165,1.20575,-0.169694,-0.43063
166,1.213333,-0.170438,-0.429814
167,1.220917,-0.171185,-0.428701
168,1.2285,-0.171941,-0.428119
169,1.236083,-0.172683,-0.42746
170,1.243667,-0.173487,-0.428773
171,1.25125,-0.174235,-0.427631
172,1.258833,-0.174988,-0.426928
173,1.266417,-0.17574,-0.426144
174,1.274,-0.176494,-0.425423
175,1.281583,-0.177247,-0.42439
176,1.289167,-0.178042,-0.426416
177,1.29675,-0.178797,-0.425229
178,1.304333,-0.179551,-0.424323
179,1.311917,-0.180293,-0.42345
180,1.3195,-0.181045,-0.422807
181,1.327083,-0.181798,-0.422073
182,1.334667,-0.182598,-0.423356
183,1.34225,-0.183333,-0.421868
184,1.349833,-0.184093,-0.421193
185,1.357417,-0.184839,-0.420872
186,1.365,-0.185584,-0.419694
187,1.372583,-0.186339,-0.419504
188,1.380167,-0.187133,-0.420499
189,1.38775,-0.187884,-0.419955
190,1.395333,-0.188633,-0.419258
191,1.402917,-0.189385,-0.417955
192,1.4105,-0.190136,-0.4174
193,1.418083,-0.190878,-0.4168
194,1.425667,-0.191683,-0.417979
195,1.43325,-0.192428,-0.417214
196,1.440833,-0.193178,-0.41588
197,1.448417,-0.193934,-0.415461
198,1.456,-0.194682,-0.414789
199,1.463583,-0.195429,-0.413639
200,1.471167,-0.196225,-0.415157
201,1.47875,-0.196967,-0.413666
202,1.486333,-0.19773,-0.412974
203,1.493917,-0.198477,-0.411565
204,1.5015,-0.199229,-0.410436
205,1.509083,-0.199979,-0.409982
206,1.516667,-0.200785,-0.410996
207,1.52425,-0.201537,-0.409787
208,1.531833,-0.202286,-0.408449
209,1.539417,-0.203034,-0.40724
210,1.547,-0.203778,-0.405729
211,1.554583,-0.20453,-0.404464
212,1.562167,-0.20528,-0.402843
213,1.56975,-0.206072,-0.404124
214,1.577333,-0.206824,-0.402098
215,1.584917,-0.207573,-0.40042
216,1.5925,-0.208323,-0.398811
217,1.600083,-0.209073,-0.39694
218,1.607667,-0.209831,-0.395542
219,1.61525,-0.210631,-0.396168
220,1.622833,-0.211371,-0.39346
221,1.630417,-0.212122,-0.391534
222,1.638,-0.21287,-0.389813
223,1.645583,-0.213626,-0.387301
224,1.653167,-0.214375,-0.385407
225,1.66075,-0.215167,-0.384939
226,1.668333,-0.215927,-0.382598
227,1.675917,-0.216673,-0.380034
228,1.6835,-0.217415,-0.376981
229,1.691083,-0.218168,-0.374608
230,1.698667,-0.218911,-0.371642
231,1.70625,-0.219721,-0.371086
232,1.713833,-0.22047,-0.36764
233,1.721417,-0.221217,-0.364752
234,1.729,-0.221967,-0.361654
235,1.736583,-0.222713,-0.358698
236,1.744167,-0.223471,-0.355718
