,time [s],voltage [V],current [A]
143,1.031333,-0.152221,-0.526199
144,1.038917,-0.152974,-0.507379
145,1.0465,-0.153733,-0.525771
146,1.054083,-0.154472,-0.507043
147,1.061667,-0.155284,-0.52562
148,1.06925,-0.156011,-0.508856
149,1.076833,-0.15679,-0.523753
150,1.084417,-0.157509,-0.509351
151,1.092,-0.158298,-0.521604
152,1.099583,-0.158995,-0.510097
153,1.107167,-0.159851,-0.520601
154,1.11475,-0.16053,-0.512613
155,1.122333,-0.161351,-0.517451
156,1.129917,-0.162034,-0.51417
157,1.1375,-0.162842,-0.51435
158,1.145083,-0.163533,-0.515867
159,1.152667,-0.164391,-0.51239
160,1.16025,-0.165081,-0.518419
161,1.167833,-0.165879,-0.508889
162,1.175417,-0.166591,-0.519699
163,1.183,-0.167375,-0.505737
164,1.190583,-0.168102,-0.520818
165,1.198167,-0.168927,-0.504609
166,1.20575,-0.169647,-0.522349
167,1.213333,-0.170367,-0.552758
168,1.220917,-0.17116,-0.594971
169,1.2285,-0.171909,-0.573486
170,1.236083,-0.172668,-0.608894
171,1.243667,-0.173449,-0.576705
172,1.25125,-0.174224,-0.608637
173,1.258833,-0.174947,-0.576672
174,1.266417,-0.175723,-0.604557
175,1.274,-0.176442,-0.577711
176,1.281583,-0.177237,-0.599917
177,1.289167,-0.177991,-0.582794
178,1.29675,-0.178799,-0.596364
179,1.304333,-0.179488,-0.584926
180,1.311917,-0.180285,-0.589756
181,1.3195,-0.180993,-0.58766
182,1.327083,-0.181786,-0.583775
183,1.334667,-0.182533,-0.592894
184,1.34225,-0.18333,-0.579597
185,1.349833,-0.184038,-0.594879
186,1.357417,-0.184831,-0.573573
187,1.365,-0.185544,-0.596687
188,1.372583,-0.186328,-0.568247
189,1.380167,-0.187095,-0.600293
190,1.38775,-0.187862,-0.567111
191,1.395333,-0.188597,-0.599526
192,1.402917,-0.189357,-0.563381
193,1.4105,-0.190104,-0.598254
194,1.418083,-0.190851,-0.561369
195,1.425667,-0.191657,-0.597933
196,1.43325,-0.192385,-0.562111
197,1.440833,-0.193164,-0.593855
198,1.448417,-0.193891,-0.562234
199,1.456,-0.194676,-0.588851
200,1.463583,-0.195382,-0.562647
201,1.471167,-0.196219,-0.585502
202,1.47875,-0.196929,-0.566065
203,1.486333,-0.197725,-0.578362
204,1.493917,-0.198427,-0.566924
205,1.5015,-0.199218,-0.57084
206,1.509083,-0.199922,-0.568781
207,1.516667,-0.200771,-0.565691
208,1.52425,-0.201484,-0.572692
209,1.531833,-0.202287,-0.557888
210,1.539417,-0.202989,-0.573393
211,1.547,-0.203782,-0.550511
212,1.554583,-0.20449,-0.572594
213,1.562167,-0.20526,-0.543338
214,1.56975,-0.206037,-0.574503
215,1.577333,-0.2068,-0.538765
216,1.584917,-0.207552,-0.571242
217,1.5925,-0.208298,-0.533106
218,1.600083,-0.209047,-0.566706
219,1.607667,-0.209802,-0.528799
220,1.61525,-0.210603,-0.563707
221,1.622833,-0.211333,-0.526582
222,1.630417,-0.212108,-0.55604
223,1.638,-0.212829,-0.522938
224,1.645583,-0.213616,-0.547113
225,1.653167,-0.214322,-0.519626
226,1.66075,-0.215168,-0.539943
227,1.668333,-0.215874,-0.5196
228,1.675917,-0.216667,-0.528625
229,1.6835,-0.217375,-0.516939
230,1.691083,-0.218175,-0.516908
231,1.698667,-0.218869,-0.51381
232,1.70625,-0.219723,-0.507169
233,1.713833,-0.220425,-0.51261
234,1.721417,-0.221215,-0.494124
235,1.729,-0.221925,-0.508195
236,1.736583,-0.222717,-0.481791
237,1.744167,-0.223425,-0.502919
238,1.75175,-0.224257,-0.472344
